path,corrupted,width,height,mode,aspect_ratio,file_hash,error
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0027419.jpg,False,600,450,RGB,1.333,8e101c958e5909cca6f3fc6b30bd039d,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025030.jpg,False,600,450,RGB,1.333,b2325aa3a1bda35d0cb6ade4af0aa980,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0026769.jpg,False,600,450,RGB,1.333,320f356b13e34021844ff0d73cfa46d5,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025661.jpg,False,600,450,RGB,1.333,4aef03578f13e4af566c262e7b69ecbe,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031633.jpg,False,600,450,RGB,1.333,3fb66c32c4a2a28bd91d145f17c97e32,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0027850.jpg,False,600,450,RGB,1.333,63b76704748dfcf68a775bbc97b58e3b,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0029176.jpg,False,600,450,RGB,1.333,1f596f8ae2f7b1981b5557bf6448573a,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0029068.jpg,False,600,450,RGB,1.333,dea124f08ec6368a9d377c2bb8e366e7,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025837.jpg,False,600,450,RGB,1.333,a216417c964008d75350e9d02021c5f3,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025209.jpg,False,600,450,RGB,1.333,ec606a4afd07f7962c7d3c7f89362b77,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025276.jpg,False,600,450,RGB,1.333,0d202872c19871b27af5fb94d6a11ec0,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0029396.jpg,False,600,450,RGB,1.333,b709bc8dbbd1dade16af44dd4fc7c264,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025984.jpg,False,600,450,RGB,1.333,e7e0983b8fa41e1110ebc72f0e7b5fd4,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025767.jpg,False,600,450,RGB,1.333,ef95fc4f14665ac85aa4c9402fa58386,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0032417.jpg,False,600,450,RGB,1.333,3428acaedb076431aebd276dc5bf522b,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031326.jpg,False,600,450,RGB,1.333,03d496bdeaec47965fd426fe0a7fa91e,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025915.jpg,False,600,450,RGB,1.333,bbcfd1d47caa96da06e40c8497b7e3d6,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031029.jpg,False,600,450,RGB,1.333,c069ee9f3d15696918f133e4414e4d6c,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0029836.jpg,False,600,450,RGB,1.333,53cf2aad8693561aafc5a4f8b7b0813f,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0032129.jpg,False,600,450,RGB,1.333,60f329001b9f2e9b019a9f5463eb232f,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0032343.jpg,False,600,450,RGB,1.333,3c375e5064bf742a8726f7b7e0211c30,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025033.jpg,False,600,450,RGB,1.333,9d554d219e4a29f0c03a5b354cb2fe63,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0027310.jpg,False,600,450,RGB,1.333,93dce6c86f932deaad1972f536560c4c,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0032128.jpg,False,600,450,RGB,1.333,09628c7cce719438a275fe5f9e1cd269,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025937.jpg,False,600,450,RGB,1.333,f909e92f382f0d34595ebe42a7e1a2d1,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0027828.jpg,False,600,450,RGB,1.333,ae17a4bb1f939cb7a868cad0cd0998cc,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0029291.jpg,False,600,450,RGB,1.333,4a60362be6596cb657d53ece189cf518,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0030698.jpg,False,600,450,RGB,1.333,4ead058c3db0aa6c5a8138d58282f8f1,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025567.jpg,False,600,450,RGB,1.333,498dc359c7f06e51660b3fc35c3d502e,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031753.jpg,False,600,450,RGB,1.333,c4860061c042cf81524a39d11ac0a989,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0026835.jpg,False,600,450,RGB,1.333,4ad48bf863b816f368a0a302037a00c4,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031159.jpg,False,600,450,RGB,1.333,2d33603b0982d7556ccad67a7fbf56e9,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031017.jpg,False,600,450,RGB,1.333,8871fe03ac9c40458c50b3f344984d3d,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0024981.jpg,False,600,450,RGB,1.333,c3df8752e7d9619ea5d591241e37f2f1,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0027815.jpg,False,600,450,RGB,1.333,30ccc38f70c87a9b41f30d1558379ff9,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0024324.jpg,False,600,450,RGB,1.333,5a0f756a4fb3593e6b5db5e4ecf87da9,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0029559.jpg,False,600,450,RGB,1.333,3fa2bf0ef4c7fa78c5a7b18a0537a650,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0030661.jpg,False,600,450,RGB,1.333,79b6fdcfae4fc28379fa60431bf778c4,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0027053.jpg,False,600,450,RGB,1.333,890542d140e3bb0f8b3775cbce9bfd01,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0028560.jpg,False,600,450,RGB,1.333,7be29c997f08e1be4b4b2db86353348a,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031650.jpg,False,600,450,RGB,1.333,29b5ec8ad7b447651f59343c8de2adfc,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0029161.jpg,False,600,450,RGB,1.333,75f266c1515e662a08adca9d0cb5d599,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0026273.jpg,False,600,450,RGB,1.333,c442e9c63e71f99343f95356eb435cba,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025076.jpg,False,600,450,RGB,1.333,164db73283f7b7bd9de217c2d9aeae6d,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0029687.jpg,False,600,450,RGB,1.333,0ba40db6712507bdb2a798982a59fe74,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025642.jpg,False,600,450,RGB,1.333,2734220b72119ecbe64c9b231636a692,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_1/ISIC_0025819.jpg,False,600,450,RGB,1.333,fbc729c6cc1298ebfeba9871a8883373,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0032013.jpg,False,600,450,RGB,1.333,bed78ef24f1b86404f9406a65555a07c,
/kaggle/input/datasets/kmader/skin-cancer-mnist-ham10000/HAM10000_images_part_2/ISIC_0031691.jpg,False,600,450,RGB,1.333,a9f5f5c2766adce6c36087e80be34af8,
