epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall,lr,epoch_time_sec
1,0.4595354345907648,0.6997999198465462,0.5500181495425213,0.6794136320252017,0.7472342217399414,0.37807336415103043,0.7854271682993326,0.6509479085220794,0.8048304871702746,0.7795134492822595,0.0001,241.1410710811615
2,0.35842649067740845,0.7848747954885643,0.651594412614064,0.7810549114698387,0.8114510847861508,0.3213595886027951,0.8079140904327157,0.6819217878188866,0.827440730393163,0.8036591468170343,0.0001,238.34151244163513
3,0.3122324830365468,0.8061536082014981,0.6799616545941456,0.817326157064323,0.8114718204808522,0.2779305887958718,0.8273433697729957,0.7086784294213108,0.8540073041750197,0.8104451510436746,0.0001,239.12843418121338
4,0.28137229495737925,0.8198451377972062,0.6981746012905994,0.8384500706626709,0.8169858372929585,0.25042386301235803,0.8384830090990398,0.7266317306798398,0.8922130826817516,0.8021590985846796,0.0001,235.60668468475342
5,0.25270386352596513,0.830394055326301,0.7135955431087908,0.8446117197174624,0.8288124664720282,0.23390442938418002,0.8438469095579906,0.7337260780187187,0.8830306030608512,0.8153200098906704,0.0001,228.60468983650208
6,0.23464979605502392,0.8364817284675966,0.722436578877001,0.8494164783408843,0.8387472517231861,0.2218881661367232,0.8459098909812545,0.737242334137552,0.916133471207269,0.7939275146451236,0.0001,230.0338966846466
7,0.22028312724756907,0.8407926852157317,0.728658890925258,0.8609210898502764,0.833719740488443,0.2059575901528583,0.8523167514432811,0.7458602019718715,0.8959589384237312,0.8201498400750767,0.0001,242.49451327323914
8,0.20926496996937027,0.8438683427672788,0.7328847374111773,0.8652137599221195,0.8350512254094503,0.19814227124438782,0.8529733734701591,0.7477762432172032,0.908991238325259,0.8124653563536272,0.0001,238.74070954322815
9,0.19681360081735863,0.8516279328587544,0.744823342489909,0.8725988885868027,0.842435988317053,0.19381733750744676,0.8523371164402906,0.7476992853359826,0.8989346333452173,0.819868732833494,0.0001,236.7020845413208
10,0.18329917063196022,0.8588165872930044,0.7549555491539369,0.8799329530761902,0.8478064221933663,0.21871489683403472,0.8328549323394953,0.7183569156525218,0.8360648601671904,0.8400137845613782,0.0001,238.3884449005127
11,0.1802890201649034,0.8576183557797628,0.7535950414531202,0.8786353177047638,0.8470158310970628,0.1799255408145286,0.8595372392404034,0.757204761376252,0.8726785215171607,0.8564740016653731,0.0001,243.15239810943604
12,0.18213178423513848,0.8537187831660351,0.7492266763549253,0.8740555103715644,0.8466481760898268,0.1895096306635146,0.8573474598667337,0.7535631424211627,0.8680010318295835,0.8554126514431132,0.0001,243.13325667381287
13,0.1726825593896659,0.8593250889663236,0.7567698534138232,0.8814848781781024,0.8505409793681409,0.1759145700563335,0.8558494971065448,0.7518554925918579,0.8929303118160793,0.8328217244976736,0.0001,241.6352264881134
14,0.1698015516493694,0.8613981783533671,0.7595357104381883,0.8821444299709366,0.8499831046253802,0.1781065155640532,0.8602667374960704,0.7580626586229184,0.8606105766701422,0.867394266441522,0.0001,244.92665648460388
15,0.1648763574641871,0.8646746401327202,0.7639158264700189,0.8850113095432879,0.853781415927841,0.1751184801797609,0.8589689071113998,0.756529350078244,0.882961075968724,0.8442990639495113,0.0001,244.22437477111816
16,0.1607128914867539,0.8677049692854824,0.7689572996116546,0.8888898790026285,0.8559429472038544,0.16227387127728995,0.8677146319717054,0.7700782945257356,0.8968025754317354,0.849676890032632,0.0001,246.85680437088013
17,0.15381460892148766,0.8735690592283226,0.7779345095875752,0.8929661999265832,0.8615685617205608,0.16714553322110856,0.8676915391991957,0.7706022269477255,0.877158078677866,0.8693795049972977,0.0001,240.12230944633484
18,0.15748583498489427,0.8685141004999,0.7707316333701811,0.8894993561434459,0.8570086640334991,0.16416550396031854,0.8678775139757104,0.7706678452178778,0.8982406297705808,0.8475385326676387,0.0001,250.9466986656189
19,0.15024474893707826,0.8752669887083122,0.7803377294253154,0.8899118455346808,0.8676596595867571,0.1646914312968383,0.8685496157200641,0.7716680749042614,0.888248914457196,0.8575504693745646,0.0001,246.72212147712708
20,0.1476913754480431,0.8778858604775854,0.7848635662032897,0.8966903486883784,0.8657312160227673,0.15329074767565634,0.8730813527199293,0.779131918340116,0.9194039343406795,0.8381152240465967,0.0001,244.57832407951355
21,0.14715611478650426,0.8771538737308548,0.7840080626901373,0.8935930318717497,0.8676932156516844,0.15736252725354494,0.8743190528343083,0.7805513829338044,0.8852458320069037,0.870811626717851,0.0001,246.19357657432556
22,0.14858196158725095,0.8730224450812283,0.7782883421771497,0.8886544293667896,0.8652204436279205,0.15600330281902003,0.8723363535744804,0.7783493374305342,0.9119276040769452,0.8453435743637527,0.0001,243.25424122810364
23,0.13962077502744744,0.8823941104096102,0.791757053323539,0.9014966585262713,0.8703319678536381,0.16692894328975308,0.8596436404353404,0.7597316561058222,0.9162880631027074,0.819089053450404,0.0001,242.16670942306519
24,0.14168570067509112,0.8814632870490292,0.7903272471370467,0.9005967502708895,0.8686765341299126,0.15952060863548265,0.8709586230484215,0.7761592225218371,0.8926134194646563,0.8602985307056471,0.0001,244.91343212127686
